Practice Name,Veterinarian Name(s),Specialties,Address,City,State,ZIP Code,Phone,Email,Website,Certification Bodies,Species Treated,Practice Description,Year Established,Telehealth Available,Featured Listing,Latitude,Longitude,Slug
Tidmore Veterinary Hospital,Dr. Scott E White DVM,Acupuncture|Herbal Medicine|Nutritional Therapy,2914 Lurleen B Wallace Blvd,Northport,AL,35476,(205) 339-5555,,https://www.tidmorevet.com,AHVMA,Dogs|Cats|Reptiles,Full-service veterinary practice offering acupuncture herbs and dietary therapy for small animals and reptiles.,,FALSE,FALSE,,,tidmore-veterinary-hospital
Western Grove Veterinary Clinic,"Dr. Beverly Chevallier DVM, CVA, CVCH, CVFT",Acupuncture|Herbal Medicine|Nutritional Therapy,,Western Grove,AR,72685,(870) 429-5299,,,Chi Institute,Dogs|Cats,Holistic veterinary care with certified veterinary acupuncture Chinese herbal medicine and food therapy.,,FALSE,FALSE,,,western-grove-veterinary-clinic
Animal Healing Center,Dr. Diana Drumm,Acupuncture|Herbal Medicine|Homeopathy,,San Diego,CA,92118,(619) 276-5900,,https://animalhealingcenter.net,AHVMA,Dogs|Cats,Holistic veterinary medicine in San Diego offering integrative care.,,FALSE,FALSE,,,animal-healing-center-san-diego
The Cat Doctor & Friends,Dr. Tracy McFarland,Acupuncture|Herbal Medicine|Nutritional Therapy,,Santa Clarita,CA,91350,(661) 259-5288,,https://catdoctor.com,AHVMA,Cats,Feline-focused holistic veterinary practice offering integrative medicine.,,FALSE,FALSE,,,the-cat-doctor-and-friends
East West Fusion Veterinary Services,Dr. Ilsi Medearis,Acupuncture|Traditional Chinese Veterinary Medicine (TCVM),,Rohnert Park,CA,94928,(530) 941-3422,,,Chi Institute,Dogs|Cats|Horses,Mobile veterinary acupuncture and TCVM services.,,FALSE,FALSE,,,east-west-fusion-veterinary-services
The Drake Center for Veterinary Care,Dr. Kathleen Boehme CVCHM,Herbal Medicine|Traditional Chinese Veterinary Medicine (TCVM),,Encinitas,CA,92024,(760) 753-9393,,https://thedrakecenter.com,Chi Institute,Dogs|Cats,Full-service veterinary hospital with Chinese herbal medicine expertise.,,FALSE,FALSE,,,the-drake-center-for-veterinary-care
Animal Care Center,Dr. Janet Varhus,Acupuncture|Herbal Medicine,120 Pahlone Parkway,Poncha Springs,CO,81242,(719) 539-1086,,https://animalcareponcha.com,AHVMA,Dogs|Cats|Horses,Integrative veterinary care in the Colorado mountains.,,FALSE,FALSE,,,animal-care-center-poncha-springs
Healing Springs Veterinary Care,"Dr. Debora Burnett DVM, PT, CVA, cAVCA",Acupuncture|Chiropractic|Physical Therapy/Rehabilitation,,Colorado Springs,CO,80918,(719) 264-8384,,https://healingspringsvet.com,IVAS|AVCA,Dogs|Cats|Horses,Rehabilitation acupuncture and chiropractic for small animals and equines.,,FALSE,FALSE,,,healing-springs-veterinary-care
Veterinary Alternative Care,Dr. Christina Abramowicz,Acupuncture|Herbal Medicine|Homeopathy,,Lewes,DE,19958,(302) 228-8646,,https://vetaltcare.com,AHVMA,Dogs|Cats,Alternative veterinary care including acupuncture herbs and homeopathy.,,FALSE,FALSE,,,veterinary-alternative-care-lewes
Animal Healing Solutions,Dr. Deneen Fasano,Acupuncture|Herbal Medicine|Laser Therapy,,Altamonte Springs,FL,32701,(407) 308-7878,,https://animalhealingsolutions.com,Chi Institute,Dogs|Cats,Holistic veterinary medicine with acupuncture herbal therapy and laser treatments.,,FALSE,FALSE,,,animal-healing-solutions
Blue Run Veterinary Practice,Dr. Kristi Jackson,Acupuncture|Herbal Medicine|Nutritional Therapy,,Dunnellon,FL,34431,(352) 489-9080,,https://bluerunvet.com,AHVMA,Dogs|Cats|Horses,Integrative veterinary practice serving Marion County.,,FALSE,FALSE,,,blue-run-veterinary-practice
My Pet's Animal Hospital,Dr. Donna McWilliams,Acupuncture|Herbal Medicine,,Lakeland,FL,33811,(863) 646-3669,,https://floridavet.com,AHVMA,Dogs|Cats,Full-service animal hospital with holistic treatment options.,,FALSE,FALSE,,,my-pets-animal-hospital
Truli Holistic Veterinary Services,Dr. Sandra Truli Springer,Acupuncture|Herbal Medicine|Homeopathy,,Palm Harbor,FL,34685,(877) 378-7854,,https://vetvmd.com,AHVMA,Dogs|Cats,Holistic veterinary house calls in the Tampa Bay area.,,TRUE,FALSE,,,truli-holistic-veterinary-services
Gainesville Veterinary Acupuncture Services,"Dr. Suzanne Brannan DVM, CVA",Acupuncture,,Gainesville,FL,32607,(352) 376-8881,,,IVAS,Dogs|Cats|Horses,Specialized veterinary acupuncture services.,,FALSE,FALSE,,,gainesville-veterinary-acupuncture-services
Pharr Road Animal Hospital,Dr. Steve Winokur,Acupuncture|Herbal Medicine,,Atlanta,GA,30305,(404) 237-4601,,https://prahvet.com,AHVMA,Dogs|Cats,Full-service veterinary hospital offering integrative care in Atlanta.,,FALSE,FALSE,,,pharr-road-animal-hospital
Winterville Animal Hospital,Dr. Judith Saik,Acupuncture|Herbal Medicine,,Winterville,GA,30683,(678) 429-2551,,https://wintervilleanimalclinic.com,AHVMA,Dogs|Cats,Holistic veterinary care near Athens Georgia.,,FALSE,FALSE,,,winterville-animal-hospital
Bortell Animal Hospital,"Dr. David Bortell DVM, CVA, CVCH, CVFT, GDVWHM",Acupuncture|Herbal Medicine|Nutritional Therapy|Homeopathy,,Bloomington,IL,61704,(309) 662-3633,,https://bortellanimalhospital.com,Chi Institute|AHVMA,Dogs|Cats,Comprehensive holistic veterinary care with multiple integrative modalities.,,FALSE,FALSE,,,bortell-animal-hospital
VCA Franklin Park Animal Hospital,Dr. Richard Biss DVM,Acupuncture|Herbal Medicine,,Franklin Park,IL,60131,(847) 455-4922,,https://vcahospitals.com,IVAS,Dogs|Cats,Full-service veterinary hospital with integrative medicine options.,,FALSE,FALSE,,,vca-franklin-park-animal-hospital
Southlake Animal Hospital,"Dr. Andrea Carlson DVM",Acupuncture|Herbal Medicine|Nutritional Therapy,3570 E. Lincoln Hwy,Merrillville,IN,46410,(219) 942-0909,,https://merrillvillevets.com,Chi Institute,Dogs|Cats,Chinese herbal medicine food therapy and acupuncture for pets.,,FALSE,FALSE,,,southlake-animal-hospital
Mind Body and Paws Acupuncture,"Dr. Joy Alleman DVM, CCRT, CVA",Acupuncture|Physical Therapy/Rehabilitation,,Watertown,MA,02472,(617) 999-8888,,https://pawsacupuncture.com,IVAS,Dogs|Cats,Veterinary acupuncture and rehabilitation therapy.,,FALSE,FALSE,,,mind-body-and-paws-acupuncture
Alternative Medicine for Pets,"Dr. Connie Clemons-Chevis DVM, M.S. TCVM",Traditional Chinese Veterinary Medicine (TCVM)|Acupuncture|Herbal Medicine,2016 Benigno Lane,Bay Saint Louis,MS,39520,(228) 671-6210,,,Chi Institute,Dogs|Cats|Horses,Traditional Chinese Veterinary Medicine for all species.,,FALSE,FALSE,,,alternative-medicine-for-pets
Mobile Veterinary Acupuncture,Dr. Alice Xenachis,Acupuncture,,Saucier,MS,39574,(732) 233-4390,,,IVAS,Dogs|Cats|Horses,Mobile veterinary acupuncture serving the Mississippi Gulf Coast.,,FALSE,FALSE,,,mobile-veterinary-acupuncture-ms
Natural Care Institute,Dr. Nancy Brandt,Acupuncture|Herbal Medicine|Homeopathy,,Las Vegas,NV,89118,(702) 617-3285,,https://nancybrandtdvm.com,AHVMA,Dogs|Cats,Holistic veterinary care in Las Vegas.,,FALSE,FALSE,,,natural-care-institute
Whole Dog Haven,Dr. Elisa Bandelin,Acupuncture|Herbal Medicine|Nutritional Therapy,,Carson City,NV,89701,(775) 461-3694,,https://wholedoghaven.com,AHVMA,Dogs,Holistic veterinary care focused on whole-dog wellness.,,FALSE,FALSE,,,whole-dog-haven
Positive Chi Alternative Veterinary Medicine,Dr. Haley DVM,Acupuncture|Herbal Medicine|Traditional Chinese Veterinary Medicine (TCVM),,Bedford,NH,03110,(603) 660-6815,,https://positivechinh.com,Chi Institute,Dogs|Cats,Alternative veterinary medicine with a focus on TCVM.,,FALSE,FALSE,,,positive-chi-alternative-veterinary-medicine
American Animal Hospital,Dr. Brian Voynick,Acupuncture|Herbal Medicine|Chiropractic,,Randolph,NJ,07869,(973) 895-4999,,https://americananimalhospital.com,AHVMA,Dogs|Cats,Full-service animal hospital with integrative care options.,,FALSE,FALSE,,,american-animal-hospital-randolph
Integrative Veterinary Medicine and Oncology,"Dr. Kendra V. Pope DVM, DACIVM, CVA, CVCH, CVFT, CVTP",Acupuncture|Herbal Medicine|Nutritional Therapy|Traditional Chinese Veterinary Medicine (TCVM),252 Broad Street Suite 3,Red Bank,NJ,07701,(732) 268-8553,,https://drkendrapope.com,Chi Institute|AHVMA,Dogs|Cats,TCVM food therapy and integrative oncology.,,FALSE,FALSE,,,integrative-veterinary-medicine-and-oncology
VCA Animal Healing,Dr. Elana Braz VMD,Acupuncture|Herbal Medicine,,Cherry Hill,NJ,08002,(856) 667-2345,,https://vcahospitals.com,IVAS,Dogs|Cats,Integrative veterinary care at VCA.,,FALSE,FALSE,,,vca-animal-healing
Zen Animal Wellness,Dr. Heather Fox,Acupuncture|Herbal Medicine|Energy Medicine (Reiki),,El Prado,NM,87529,(575) 779-7279,,https://zenanimalwellness.com,AHVMA,Dogs|Cats|Horses,Holistic veterinary care in northern New Mexico.,,FALSE,FALSE,,,zen-animal-wellness
Advanced Animal Care Center,Dr. Michel Selmer,Acupuncture|Herbal Medicine|Traditional Chinese Veterinary Medicine (TCVM),,Huntington Station,NY,11746,(631) 367-7387,,https://advancedcareforpets.com,Chi Institute,Dogs|Cats,Advanced integrative veterinary care on Long Island.,,FALSE,FALSE,,,advanced-animal-care-center
Canton Animal Clinic,Dr. Amy Thompson,Acupuncture|Herbal Medicine,,Canton,NY,13617,(315) 386-2754,,,AHVMA,Dogs|Cats,Holistic veterinary care in upstate New York.,,FALSE,FALSE,,,canton-animal-clinic
Richmond Valley Veterinary Practice,Dr. Lisa A. Esposito,Acupuncture|Herbal Medicine,4915 Arthur Kill Road,Staten Island,NY,10309,(718) 948-3331,,https://richmondvalleyvet.com,AHVMA,Dogs|Cats,Integrative veterinary practice serving Staten Island.,,FALSE,FALSE,,,richmond-valley-veterinary-practice
