Practice Name,Veterinarian Name(s),Specialties,Address,City,State,ZIP Code,Phone,Email,Website,Certification Bodies,Species Treated,Practice Description,Year Established,Telehealth Available,Featured Listing,Latitude,Longitude,Slug,Image URL,Logo Image URL,Google Rating,Google Reviews,Google Place ID,Google Maps URL
Integrative Veterinary Health Center,Dr. Woods,Acupuncture|Herbal Medicine|Nutritional Therapy,451 North Tustin Street,Orange,CA,92867,(714) 532-0755,info@integrativeveterinaryhealthcenter.com,https://integrativeveterinaryhealthcenter.com/,DVM,Dogs|Cats,"This Orange, CA practice integrates conventional and complementary veterinary approaches, with Dr. Woods emphasizing how combined modalities expand treatment options and improve patients' quality of life. The hospital treats dogs, cats, exotic animals, and pocket pets, offering acupuncture, herbal medicine, and nutritional therapy alongside wellness care, preventive medicine, and surgery. The veterinarian considers current medications and patient regimens when recommending therapies to ensure safety and prevent interactions.",,,,33.7940796,-117.8354379,integrative-veterinary-health-center,,,,,,
Complete Equine Health Services,"Dr. Carlos Jimenez, Dr. Crowley Dr, Dr. Dr Jimenez",Acupuncture | Chiropractic,167 Monacy Rd,Coatesville,PA,19320,16104660501,cehsoffice@aol.com,https://www.completeequinehealthservice.com,"DVM, IVAS","Dogs, Cats, Horses","Complete Equine Health Services, owned by Dr. Carlos Jimenez since 1992, provides acupuncture and chiropractic care for horses and dogs across Eastern Pennsylvania, New Jersey, Maryland, and Florida. Dr. Jimenez holds IVAS certification in veterinary acupuncture completed over 25 years ago and uses these modalities to address lameness, colic, neurologic disorders, reproductive issues, and musculoskeletal pain. The practice also offers equine reproductive services including breeding with fresh and frozen semen, injury rehabilitation with therapeutic laser and shockwave therapy, and foaling services at their Chester County farm facility.",,,,40.0217839,-75.809419,complete-equine-health-services-coatesville-pennsylvania,,,4.8,19,ChIJ0y-sLiBcxokRND8Xk52fOwA,https://www.google.com/maps/search/?api=1&query=Complete%20Equine%20Health%20Services&query_place_id=ChIJ0y-sLiBcxokRND8Xk52fOwA
Collins Hospital for Animals,"Dr. Collins, Dr. Daphne, Dr. Jay Merker, Dr. Jean, Dr. Joanne, Dr. Kristen Fischer, Dr. Lynne Cabaniss, Dr. William",Nutritional Therapy,1808 Wisconsin Ave NW,Washington,DC,20007,12026598830,collinshospital@gmail.com,http://www.collinsanimalhospital.net,,"Dogs, Cats, Horses, Exotics","Collins Hospital for Animals is a holistic and integrative veterinary practice in Washington, DC. The practice treats dogs, cats, horses, and exotics. Holistic and integrative services include Nutritional Therapy. It holds a 4.5-star rating across 103 Google reviews.",,,,38.914937,-77.067652,collins-hospital-for-animals-washington-district-of-columbia,,https://cdcssl.ibsrv.net/ibimg/smb/130x130_80/webmgr/01/n/y/Logo-Vet-01.png.webp?a96d2828fba160d3e3b6c136ed02715a,4.5,103,ChIJf06wVDe2t4kRlVVptMMIYoo,https://www.google.com/maps/search/?api=1&query=Collins%20Hospital%20for%20Animals&query_place_id=ChIJf06wVDe2t4kRlVVptMMIYoo
Statesville Equine Clinic,"Dr. Lisa Baucom, Dr. Travis Blackwelder, Dr. Zach Spencer",Acupuncture | Nutritional Therapy | Physical Therapy/Rehabilitation | Chiropractic | Laser Therapy,181 Mocksville Hwy B,Statesville,NC,28625,17048731743,statesvilleequine@gmail.com,http://statesvilleequine.com,DVM,"Dogs, Cats, Horses","Statesville Equine Clinic, founded in 1984 and located in Statesville, NC, specializes in sport horse medicine and lameness diagnosis. The practice, led by Dr. Travis Blackwelder (DVM 2001, Master's in Animal Nutrition) and Dr. Lisa Baucom (DVM 2002, certified in chiropractic and acupuncture), offers acupuncture, chiropractic care, laser therapy, physical therapy and rehabilitation, and nutritional therapy alongside advanced diagnostics and surgical interventions. Dr. Baucom integrates alternative modalities with modern treatment approaches for equine lameness and spinal issues, while Dr. Blackwelder serves on regional and national equine medical committees. The clinic also treats dogs and cats and maintains ambulatory services across multiple counties in the Carolinas and Virginia.",,,,35.812704,-80.8370468,statesville-equine-clinic-statesville-north-carolina,,http://static1.squarespace.com/static/667afec4116eb546a1aa94db/t/667affdab8065e2e0f957a09/1719336922131/Statesville+no+shading.jpg?format=1500w,4.5,30,ChIJaYJbgMZYUYgR9YoHS7XFyX4,https://www.google.com/maps/search/?api=1&query=Statesville%20Equine%20Clinic&query_place_id=ChIJaYJbgMZYUYgR9YoHS7XFyX4
American Academy-Vet Dermatology,,Nutritional Therapy,400 Winding Creek Blvd,Mechanicsburg,PA,17050,18882944336,info@aavd.org,http://www.aavd.org,,Cats,"American Academy-Vet Dermatology is a holistic and integrative veterinary practice in Mechanicsburg, PA. The practice treats cats. Holistic and integrative services include Nutritional Therapy. It holds a 1-star rating across 1 Google review.",,,,40.261152,-77.037319,american-academy-vet-dermatology-mechanicsburg-pennsylvania,,"https://static.wixstatic.com/media/634659_4fcfc8acb2fb449194c08f2a81ff7c83%7Emv2.png/v1/fit/w_2500,h_1330,al_c/634659_4fcfc8acb2fb449194c08f2a81ff7c83%7Emv2.png",1,1,ChIJ_____w7ByIkR-74piLA3uEE,https://www.google.com/maps/search/?api=1&query=American%20Academy-Vet%20Dermatology&query_place_id=ChIJ_____w7ByIkR-74piLA3uEE
Rotterdam Veterinary Hospital,"Dr. Kopa, Dr. Michel Hardaker, Dr. Scarpinato, Dr. St",Nutritional Therapy | Laser Therapy,2806 Guilderland Ave,Schenectady,NY,12306,15183565568,rotterdamvh@gmail.com,http://www.rotterdamvet.com,,Dogs,"Rotterdam Veterinary Hospital is a holistic and integrative veterinary practice in Schenectady, NY. The practice treats dogs. Holistic and integrative services include Nutritional Therapy and Laser Therapy. It holds a 3.8-star rating across 177 Google reviews.",,,,42.7860647,-73.9705918,rotterdam-veterinary-hospital-schenectady-new-york,,,3.8,177,ChIJTUpb-rlx3okRmrVeNLD1ke4,https://www.google.com/maps/search/?api=1&query=Rotterdam%20Veterinary%20Hospital&query_place_id=ChIJTUpb-rlx3okRmrVeNLD1ke4
Holistic Veterinary Healing Maryland,"Dr. Deborah Mallu, DVM, CVA; Dr. Ying Ngo, DVM, CVA",Acupuncture | Traditional Chinese Veterinary Medicine| Herbal Medicine | Chiropractic,"12627 Wisteria Dr, Ste C&D",Germantown,MD,20874,(240) 715-6570,holvethealing@gmail.com,https://www.holisticveterinaryhealing.com,IVAS|Chi Institute|AHVMA,Dogs|Cats,"Holistic Veterinary Healing in Germantown, MD treats dogs and cats using acupuncture, Traditional Chinese veterinary medicine, herbal medicine, and chiropractic care alongside conventional medicine. Co-founder Dr. Deborah Mallu leads the practice with a philosophy that integrates holistic and conventional methods to address the whole animal—body, mind, spirit, and emotions—rather than isolated symptoms. The practice is AAHA accredited and affiliated with the International Veterinary Acupuncture Society, the Chi Institute, and the American Holistic Veterinary Medical Association. Their approach includes customized treatment plans that may combine acupuncture, herbs, supplements, and conventional care with dietary and lifestyle modifications, and they perform vaccine titers rather than automatic vaccination protocols.",,,,39.1713493,-77.26070849999999,holistic-veterinary-healing-maryland,,https://holisticveterinaryhealing.com/wp-content/uploads/2023/11/Logo-HVH.png,4.8,73,ChIJT_DcckcstokRA9KYquthLtk,https://www.google.com/maps/search/?api=1&query=Holistic%20Veterinary%20Healing&query_place_id=ChIJT_DcckcstokRA9KYquthLtk
Westbrook Veterinary Hospital,Dr. Russo,Nutritional Therapy,2 Belchertown Rd,Pelham,MA,1002,14132537797,info@westbrookvethosp.com,https://westbrookvethosp.com,DVM,"Dogs, Cats","Westbrook Veterinary Hospital has served the Amherst area since 1992, offering wellness care, medical treatment, surgery, and dental services for dogs and cats. The practice emphasizes nutritional therapy as part of its approach and works with clients to develop customized care plans that fit their needs and budget.",,,,42.3527149,-72.4714194,westbrook-veterinary-hospital-pelham-massachusetts,,https://westbrookvethosp.com/files/2022/12/WestbrookLogo1.png,4.5,68,ChIJ-27Dk4DO5okRLd2jdKMHwx4,https://www.google.com/maps/search/?api=1&query=Westbrook%20Veterinary%20Hospital&query_place_id=ChIJ-27Dk4DO5okRLd2jdKMHwx4
"Equine Sports Medicine, LLC","Dr. Alan Donnell, Dr. Cameron Stoudt, Dr. Dr Donnell, Dr. Josh Donnell, Dr. Sherry Johnson",Physical Therapy/Rehabilitation,8386 Farm to Market 455 E,Pilot Point,TX,76258,19406862118,info@equine-sportsmedicine.com,https://www.eqsmr.com,DACVSMR,"Cats, Horses","Equine Sports Medicine provides comprehensive veterinary care for performance horses across multiple locations in Texas and Arizona, with a mobile division serving events nationwide. The practice specializes in sports medicine, lameness evaluations, advanced diagnostics including radiography and ultrasound, surgery, and customized physical therapy and rehabilitation programs tailored to individual horses and their disciplines. Founded by Dr. Alan Donnell and Dr. Dave Frisbie, the practice is currently led by co-owners Dr. Josh Donnell, Dr. Cameron Stoudt, and Dr. Sherry Johnson, with rehabilitation services including aquatic therapy and controlled exercise designed to support long-term soundness and return to athletic performance.",,,,33.3620363,-96.992223,equine-sports-medicine-llc-pilot-point-texas,,https://images.squarespace-cdn.com/content/v1/5d3873fd1f9c5c00018e2fcb/76da7199-db3c-4ae2-be60-f009a2770f33/ESM_Logo.jpg?format=1500w,4.8,4,ChIJxybfzthPTIYRXu8RkrGuapE,https://www.google.com/maps/search/?api=1&query=Equine%20Sports%20Medicine%2C%20LLC&query_place_id=ChIJxybfzthPTIYRXu8RkrGuapE
All Paws Holistic Vet Clinic,Dr. Anne Reed,Nutritional Therapy,249 Tewksbury Avenue,Richmond,CA,94801,(510) 232-5303,info@holisticpetvet.net,https://www.holisticpetvet.net/,DVM,Dogs|Cats,"All Paws Holistic Vet Clinic, established in 1993, treats dogs and cats using acupuncture, homeopathy, nutritional therapy, and laser treatments guided by Traditional Chinese Veterinary Medicine principles. Dr. Anne Reed, who earned her DVM from UC Davis in 1998 and holds veterinary acupuncture certification from the International Veterinary Acupuncture Society, also completed training in veterinary homeopathy and herbal medicine. The practice offers in-clinic appointments in Point Richmond and house calls in Sonoma County, conducting 90-minute consultations that assess the pet's complete health history, diet, and environment to develop personalized wellness plans focused on addressing root causes rather than isolated symptoms.",1993,,,37.9284896,-122.3865354,all-paws-holistic-vet-clinic,,,4.8,22,ChIJN4nZ7c6ChYARkMDHX2OVPqs,https://www.google.com/maps/search/?api=1&query=All%20Paws%20Holistic%20Vet%20Clinic&query_place_id=ChIJN4nZ7c6ChYARkMDHX2OVPqs
